loss,accuracy,val_loss,val_accuracy
1.0979551076889038,0.3500820994377136,1.0933769941329956,0.6034155488014221
1.0919419527053833,0.42988505959510803,1.0811141729354858,0.7533206939697266
1.0676168203353882,0.5110016465187073,1.037123441696167,0.759013295173645
0.9961113929748535,0.5770114660263062,0.9008918404579163,0.7381404042243958
0.8680661916732788,0.6311987042427063,0.759906530380249,0.7874763011932373
0.7491505146026611,0.7011494040489197,0.6642761826515198,0.8292220234870911
0.6557813286781311,0.7599343061447144,0.5864912867546082,0.8368121385574341
0.5828284025192261,0.7947455048561096,0.5505111813545227,0.848197340965271
0.5283359289169312,0.8256157636642456,0.4805411994457245,0.8519924283027649
0.45644471049308777,0.8653530478477478,0.4407154321670532,0.8519924283027649
0.4122474789619446,0.8784893155097961,0.41807618737220764,0.855787456035614
0.37242698669433594,0.8916256427764893,0.3972183167934418,0.8538899421691895
0.34065890312194824,0.9070607423782349,0.38180819153785706,0.8576850295066833
0.30463072657585144,0.9185550212860107,0.36640748381614685,0.8690702319145203
0.28255942463874817,0.9162561297416687,0.3772411346435547,0.8576850295066833
0.2542666792869568,0.9320197105407715,0.3615519106388092,0.8728652596473694
0.22888949513435364,0.9366174340248108,0.358612060546875,0.8804554343223572
0.22264696657657623,0.9353037476539612,0.3604148030281067,0.8747628331184387
0.19373320043087006,0.9536945819854736,0.3650798797607422,0.8766603469848633
0.18902000784873962,0.9497537016868591,0.37034764885902405,0.8728652596473694
